Non-Optimized Profile for Pan
=============================

Update or replace this file as new information becomes available.

Conditions of this profile:
   Non-optimized code.
   Run 1088, 34787 events, local I/O.
   Note that the cumulative time (7.2 sec) falls far short of the
   real time of the code, typically it is only 15% of the real time.


Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 10.15      0.73     0.73    34787     0.02     0.06  TaEvent::Decode(TaDevice const &)
  2.64      0.92     0.19  3930931     0.00     0.00  TaDevice::GetRawKey(int const &) const
  2.36      1.09     0.17  4209227     0.00     0.00  TaDevice::GetAdcNum(int const &) const
  2.36      1.26     0.17    46937     0.00     0.01  TaStatistics::Update(vector<double, __default_alloc_template<true, 0> > const &, vector<double, __default_alloc_template<true, 0> > const &, vector<double, __default_alloc_template<true, 0> > const &)
  1.95      1.40     0.14  3930931     0.00     0.00  TaDevice::GetEvPointer(int const &) const
  1.81      1.53     0.13  2087220     0.00     0.00  TaDevice::GetDacInt(int const &) const
  1.81      1.66     0.13  2087220     0.00     0.00  TaDevice::GetDacSlope(int const &) const
  1.81      1.79     0.13    17393     0.01     0.04  VaAnalysis::AutoPairAna(void)
  1.53      1.90     0.11  4209227     0.00     0.00  TaDevice::GetChanNum(int const &) const
  1.53      2.01     0.11  3930932     0.00     0.00  TaEvent::GetRawData(int) const
  1.53      2.12     0.11  2233224     0.00     0.00  vector<pair<ECutType, int>, __default_alloc_template<true, 0> >::size(void) const
  1.53      2.23     0.11  2087220     0.00     0.00  TaDevice::GetPedestal(int const &) const
  1.53      2.34     0.11  1339294     0.00     0.00  vector<TaLabelledQuantity, __default_alloc_template<true, 0> >::size(void) const
  1.53      2.45     0.11  1234833     0.00     0.00  TaEvent::GetData(int) const
  1.39      2.55     0.10  1567928     0.00     0.00  TaEvent::GetEvNumber(void) const
  1.39      2.65     0.10  1095770     0.00     0.00  void destroy<TaLabelledQuantity>(TaLabelledQuantity *)
  1.39      2.75     0.10  1043795     0.00     0.00  void destroy<pair<ECutType, int> *>(pair<ECutType, int> *, pair<ECutType, int> *)
  1.25      2.84     0.09   626160     0.00     0.00  vector<pair<ECutType, int>, __default_alloc_template<true, 0> >::capacity(void) const
  1.25      2.93     0.09                             evRead(int, int *, int)
  1.11      3.01     0.08  1513206     0.00     0.00  TaLabelledQuantity::~TaLabelledQuantity(void)
  1.11      3.09     0.08   613201     0.00     0.00  pair<ECutType, int> * __copy_d<pair<ECutType, int> const *, pair<ECutType, int> *, int>(pair<ECutType, int> const *, pair<ECutType, int> const *, pair<ECutType, int> *, int *)
  1.11      3.17     0.08   593199     0.00     0.00  TaCutInterval::Inside(TaEvent const &, unsigned int, unsigned int) const
  1.11      3.25     0.08   313080     0.00     0.00  TaEvent::Create(TaEvent const &)
  1.11      3.33     0.08    34787     0.00     0.01  TaEvent::CheckEvent(TaRun const &)
  1.11      3.41     0.08    34787     0.00     0.06  VaAnalysis::PreProcessEvt(void)
  1.11      3.49     0.08        1    80.00  7039.14  VaAnalysis::ProcessRun(void)
  0.97      3.56     0.07  3338011     0.00     0.00  vector<pair<ECutType, int>, __default_alloc_template<true, 0> >::end(void) const
  0.97      3.63     0.07  1095770     0.00     0.00  void construct<TaLabelledQuantity, TaLabelledQuantity>(TaLabelledQuantity *, TaLabelledQuantity const &)
  0.97      3.70     0.07   626160     0.00     0.00  __as__t6vector2Zt4pair2Z8ECutTypeZiZt24__default_alloc_template2b1i0RCt6vector2Zt4pair2Z8ECutTypeZiZt24__default_alloc_template2b1i0
  0.97      3.77     0.07   487018     0.00     0.00  TaEvent::Rotate(double, double, int)
  0.97      3.84     0.07   172117     0.00     0.00  vector<double, __default_alloc_template<true, 0> >::insert_aux(double *, double const &)
  0.97      3.91     0.07   121752     0.00     0.00  list<unsigned int, __default_alloc_template<true, 0> >::begin(void)
  0.97      3.98     0.07   100864     0.00     0.00  TaCutList::OK(TaEvent const &) const
  0.83      4.04     0.06  3965718     0.00     0.00  TaDevice::GetNumRaw(void) const
  0.83      4.10     0.06  3859944     0.00     0.00  vector<pair<ECutType, int>, __default_alloc_template<true, 0> >::begin(void) const
  0.83      4.16     0.06    52180     0.00     0.00  vector<TaLabelledQuantity, __default_alloc_template<true, 0> >::vector(vector<TaLabelledQuantity, __default_alloc_template<true, 0> > const &)
  0.70      4.21     0.05  2121994     0.00     0.00  vector<TaLabelledQuantity, __default_alloc_template<true, 0> >::begin(void) const
  0.70      4.26     0.05  1196222     0.00     0.00  iterator_traits<pair<ECutType, int> *>::value_type * value_type<pair<ECutType, int> *>(pair<ECutType, int> * const &)
  0.70      4.31     0.05  1145188     0.00     0.00  __vc__Ct6vector2ZdZt24__default_alloc_template2b1i0Ui
  0.70      4.36     0.05  1095770     0.00     0.00  TaLabelledQuantity::TaLabelledQuantity(TaLabelledQuantity const &)
  0.70      4.41     0.05  1043795     0.00     0.00  void __destroy<pair<ECutType, int> *, pair<ECutType, int> >(pair<ECutType, int> *, pair<ECutType, int> *, pair<ECutType, int> *)
  0.70      4.46     0.05  1043795     0.00     0.00  __destroy_aux__H1ZPt4pair2Z8ECutTypeZi_X01T0G12__false_type_v
  0.70      4.51     0.05   643569     0.00     0.00  __destroy_aux__H1ZP18TaLabelledQuantity_X01T0G12__false_type_v
  0.70      4.56     0.05   643569     0.00     0.00  void destroy<TaLabelledQuantity *>(TaLabelledQuantity *, TaLabelledQuantity *)
  0.70      4.61     0.05   347876     0.00     0.00  TaEvent::Uncreate(void)
  0.70      4.66     0.05   314052     0.00     0.00  vector<double, __default_alloc_template<true, 0> >::deallocate(void)
  0.70      4.71     0.05   313080     0.00     0.00  __as__t6vector2Z18TaLabelledQuantityZt24__default_alloc_template2b1i0RCt6vector2Z18TaLabelledQuantityZt24__default_alloc_template2b1i0
  0.70      4.76     0.05    34787     0.00     0.01  TaPairFromPair::CheckSequence(TaEvent &)
  0.56      4.80     0.04  1507020     0.00     0.00  __vc__t6vector2ZdZt24__default_alloc_template2b1i0Ui
  0.56      4.84     0.04   869685     0.00     0.00  iterator_traits<TaLabelledQuantity *>::value_type * value_type<TaLabelledQuantity *>(TaLabelledQuantity * const &)
  0.56      4.88     0.04   789114     0.00     0.00  vector<double, __default_alloc_template<true, 0> >::size(void) const
  0.56      4.92     0.04   173969     0.00     0.00  TaRun::GetEvent(void) const
  0.56      4.96     0.04    34787     0.00     0.01  TaRun::AddCuts(void)
  0.56      5.00     0.04    34787     0.00     0.00  TaBeamAna::EventAnalysis(void)
  0.42      5.03     0.03  1186398     0.00     0.00  __vc__Ct6vector2ZUiZt24__default_alloc_template2b1i0Ui
  0.42      5.06     0.03   613201     0.00     0.00  __copy_t__H1Zt4pair2Z8ECutTypeZi_PCX01T0PX01G12__false_type_PX01
  0.42      5.09     0.03   613142     0.00     0.00  vector<pair<ECutType, int>, __default_alloc_template<true, 0> >::begin(void)
  0.42      5.12     0.03   612348     0.00     0.00  void construct<pair<ECutType, int>, pair<ECutType, int> >(pair<ECutType, int> *, pair<ECutType, int> const &)
  0.42      5.15     0.03   345358     0.00     0.00  __copy_t__H1Zd_PCX01T0PX01G11__true_type_PX01
  0.42      5.18     0.03   344236     0.00     0.00  double * copy<double *, double *>(double *, double *, double *)
  0.42      5.21     0.03   344234     0.00     0.00  __uninitialized_copy_aux__H2ZPdZPd_X01T0X11G11__true_type_X11
  0.42      5.24     0.03   313080     0.00     0.00  vector<TaLabelledQuantity, __default_alloc_template<true, 0> >::capacity(void) const
  0.42      5.27     0.03   215330     0.00     0.00  list<unsigned int, __default_alloc_template<true, 0> >::end(void)
  0.42      5.30     0.03   208727     0.00     0.00  vector<TaLabelledQuantity, __default_alloc_template<true, 0> >::~vector(void)
  0.42      5.33     0.03   156539     0.00     0.00  TaEvent::GetTimeSlot(void) const
  0.42      5.36     0.03   139146     0.00     0.00  TaEvent::AddCut(ECutType, int)
  0.42      5.39     0.03   104359     0.00     0.00  TaEvent::TaEvent(TaEvent const &)
  0.42      5.42     0.03    93874     0.00     0.00  vector<double, __default_alloc_template<true, 0> >::vector(unsigned int)
  0.42      5.45     0.03    34901     0.00     0.00  TaRun::GetBuffer(void)
  0.42      5.48     0.03    17394     0.00     0.01  VaAnalysis::NewPrePair(void)
  0.42      5.51     0.03    17393     0.00     0.03  TaRun::AccumPair(VaPair const &)
  0.28      5.53     0.02  1937124     0.00     0.00  vector<double, __default_alloc_template<true, 0> >::begin(void) const
  0.28      5.55     0.02  1808914     0.00     0.00  vector<TaLabelledQuantity, __default_alloc_template<true, 0> >::end(void) const
  0.28      5.57     0.02  1290762     0.00     0.00  vector<unsigned int, __default_alloc_template<true, 0> >::begin(void) const
  0.28      5.59     0.02  1196299     0.00     0.00  TaCutInterval::GetCut(void) const
  0.28      5.61     0.02   643569     0.00     0.00  void __destroy<TaLabelledQuantity *, TaLabelledQuantity>(TaLabelledQuantity *, TaLabelledQuantity *, TaLabelledQuantity *)
  0.28      5.63     0.02   481781     0.00     0.00  vector<TaLabelledQuantity, __default_alloc_template<true, 0> >::begin(void)
  0.28      5.65     0.02   473813     0.00     0.00  pair<ECutType, int> * copy<pair<ECutType, int> const *, pair<ECutType, int> *>(pair<ECutType, int> const *, pair<ECutType, int> const *, pair<ECutType, int> *)
  0.28      5.67     0.02   430660     0.00     0.00  vector<pair<ECutType, int>, __default_alloc_template<true, 0> >::deallocate(void)
  0.28      5.69     0.02   379210     0.00     0.00  VaPair::GetRight(void) const
  0.28      5.71     0.02   375656     0.00     0.00  vector<double, __default_alloc_template<true, 0> >::push_back(double const &)
  0.28      5.73     0.02   375488     0.00     0.00  TaLabelledQuantity::GetVal(void) const
  0.28      5.75     0.02   344236     0.00     0.00  __cl__t15__copy_dispatch2ZPdZPdPdN21
  0.28      5.77     0.02   344234     0.00     0.00  double * __uninitialized_copy<double *, double *, double>(double *, double *, double *, double *)
  0.28      5.79     0.02   314598     0.00     0.00  __destroy_aux__H1ZPd_X01T0G11__true_type_v
  0.28      5.81     0.02   302612     0.00     0.00  __deque_buf_size(unsigned int, unsigned int)
  0.28      5.83     0.02   278306     0.00     0.00  vector<pair<ECutType, int>, __default_alloc_template<true, 0> >::~vector(void)
  0.28      5.85     0.02   173936     0.00     0.00  __uninitialized_copy_aux__H2ZP18TaLabelledQuantityZP18TaLabelledQuantity_X01T0X11G12__false_type_X11
  0.28      5.87     0.02   152354     0.00     0.00  simple_alloc<pair<ECutType, int>, __default_alloc_template<true, 0> >::allocate(unsigned int)
  0.28      5.89     0.02   141935     0.00     0.00  vector<double, __default_alloc_template<true, 0> >::~vector(void)
  0.28      5.91     0.02   139388     0.00     0.00  pair<ECutType, int> * copy<pair<ECutType, int> *, pair<ECutType, int> *>(pair<ECutType, int> *, pair<ECutType, int> *, pair<ECutType, int> *)
  0.28      5.93     0.02   139148     0.00     0.00  simple_alloc<TaLabelledQuantity, __default_alloc_template<true, 0> >::allocate(unsigned int)
  0.28      5.95     0.02   110959     0.00     0.00  __ne__Ct15__list_iterator3ZUiZRUiZPUiRCt15__list_iterator3ZUiZRUiZPUi
  0.28      5.97     0.02   104360     0.00     0.00  __ml__Ct16__deque_iterator4Z7TaEventZR7TaEventZP7TaEventUi0
  0.28      5.99     0.02   104359     0.00     0.00  TaCutList::UpdateCutInterval(ECutType, int, unsigned int)
  0.28      6.01     0.02    94450     0.00     0.00  vector<double, __default_alloc_template<true, 0> >::allocate_and_fill(unsigned int, double const &)
  0.28      6.03     0.02    86968     0.00     0.00  vector<TaLabelledQuantity, __default_alloc_template<true, 0> >::insert_aux(TaLabelledQuantity *, TaLabelledQuantity const &)
  0.28      6.05     0.02    86967     0.00     0.00  void destroy<TaEvent>(TaEvent *)
  0.28      6.07     0.02    86967     0.00     0.00  deque<TaEvent, __default_alloc_template<true, 0>, 0>::pop_front(void)
  0.28      6.09     0.02    86967     0.00     0.01  deque<TaEvent, __default_alloc_template<true, 0>, 0>::push_back(TaEvent const &)
  0.28      6.11     0.02    69574     0.00     0.00  deque<TaEvent, __default_alloc_template<true, 0>, 0>::front(void)
  0.28      6.13     0.02    52548     0.00     0.00  __deque_iterator<VaPair *, VaPair *&, VaPair **, 0>::buffer_size(void)
  0.28      6.15     0.02    52180     0.00     0.00  TaLabelledQuantity * __uninitialized_copy<TaLabelledQuantity const *, TaLabelledQuantity *, TaLabelledQuantity>(TaLabelledQuantity const *, TaLabelledQuantity const *, TaLabelledQuantity *, TaLabelledQuantity *)
  0.28      6.17     0.02    34900     0.00     0.00  TaEvent::Load(int const *)
  0.28      6.19     0.02    34794     0.00     0.00  TaEvent::TaEvent(void)
  0.28      6.21     0.02    34794     0.00     0.00  vector<TaLabelledQuantity, __default_alloc_template<true, 0> >::clear(void)
  0.28      6.23     0.02    34788     0.00     0.00  vector<unsigned int, __default_alloc_template<true, 0> >::~vector(void)
  0.28      6.25     0.02    34787     0.00     0.06  TaRun::Decode(void)
  0.28      6.27     0.02    17393     0.00     0.04  TaBeamAna::PairAnalysis(void)
  0.28      6.29     0.02    17393     0.00     0.04  VaAnalysis::ProcessPair(void)
  0.28      6.31     0.02    17392     0.00     0.00  deque<TaEvent, __default_alloc_template<true, 0>, 0>::pop_front_aux(void)
  0.28      6.33     0.02                             THaCodaFile::codaRead(void)
  0.28      6.35     0.02                             THaCodaFile::staterr(TString, int)
  0.14      6.36     0.01  1679683     0.00     0.00  vector<double, __default_alloc_template<true, 0> >::begin(void)
  0.14      6.37     0.01  1234833     0.00     0.00  TaEvent::Idx(int const &) const
  0.14      6.38     0.01   944685     0.00     0.00  vector<TaCutInterval, __default_alloc_template<true, 0> >::end(void) const
  0.14      6.39     0.01   791392     0.00     0.00  vector<double, __default_alloc_template<true, 0> >::end(void) const
  0.14      6.40     0.01   753860     0.00     0.00  iterator_traits<double *>::value_type * value_type<double *>(double * const &)
  0.14      6.41     0.01   612348     0.00     0.00  void destroy<pair<ECutType, int> >(pair<ECutType, int> *)
