Profile for Pan
===============

Update or replace this file as new information becomes available.

Conditions of this profile:
   Optimized code, gcc level 1.
   Run 1088, 34787 events, local I/O.
   Note that the cumulative time (6.7 sec) falls far short of the
   real time of the code, typically it is only 15% of the real time.


Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 44.39      2.97     2.97   313080     0.01     0.01  TaEvent::Create(TaEvent const &)
 12.41      3.80     0.83    34787     0.02     0.03  TaEvent::Decode(TaDevice const &)
  3.89      4.06     0.26    17393     0.01     0.04  VaAnalysis::AutoPairAna(void)
  3.29      4.28     0.22    34787     0.01     0.01  TaBeamAna::EventAnalysis(void)
  2.84      4.47     0.19  1095770     0.00     0.00  TaLabelledQuantity::~TaLabelledQuantity(void)
  2.84      4.66     0.19   313080     0.00     0.00  __as__t6vector2Z18TaLabelledQuantityZt24__default_alloc_template2b1i0RCt6vector2Z18TaLabelledQuantityZt24__default_alloc_template2b1i0
  2.69      4.84     0.18   626160     0.00     0.00  __as__t6vector2Zt4pair2Z8ECutTypeZiZt24__default_alloc_template2b1i0RCt6vector2Zt4pair2Z8ECutTypeZiZt24__default_alloc_template2b1i0
  1.79      4.96     0.12  1234833     0.00     0.00  TaEvent::GetData(int) const
  1.20      5.04     0.08    86968     0.00     0.00  vector<TaLabelledQuantity, __default_alloc_template<true, 0> >::insert_aux(TaLabelledQuantity *, TaLabelledQuantity const &)
  1.20      5.12     0.08    34787     0.00     0.10  VaAnalysis::PreProcessEvt(void)
  1.05      5.19     0.07   139153     0.00     0.00  TaEvent::~TaEvent(void)
  1.05      5.26     0.07    17393     0.00     0.01  TaCutList::TaCutList(TaCutList const &)
  0.90      5.32     0.06   487018     0.00     0.00  TaEvent::Rotate(double, double, int)
  0.90      5.38     0.06   172117     0.00     0.00  vector<double, __default_alloc_template<true, 0> >::insert_aux(double *, double const &)
  0.90      5.44     0.06   100864     0.00     0.00  TaCutList::OK(TaEvent const &) const
  0.90      5.50     0.06    34787     0.00     0.01  TaRun::AccumEvent(TaEvent const &)
  0.90      5.56     0.06    34787     0.00     0.04  TaPairFromPair::Fill(TaEvent &)
  0.75      5.61     0.05  3930932     0.00     0.00  TaEvent::GetRawData(int) const
  0.75      5.66     0.05   104359     0.00     0.00  TaCutList::UpdateCutInterval(ECutType, int, unsigned int)
  0.75      5.71     0.05    46937     0.00     0.00  TaStatistics::Update(vector<double, __default_alloc_template<true, 0> > const &, vector<double, __default_alloc_template<true, 0> > const &, vector<double, __default_alloc_template<true, 0> > const &)
  0.60      5.75     0.04  1567928     0.00     0.00  TaEvent::GetEvNumber(void) const
  0.60      5.79     0.04  1196299     0.00     0.00  TaCutInterval::GetCut(void) const
  0.60      5.83     0.04   347876     0.00     0.00  TaEvent::Uncreate(void)
  0.60      5.87     0.04   173936     0.00     0.00  __uninitialized_copy_aux__H2ZP18TaLabelledQuantityZP18TaLabelledQuantity_X01T0X11G12__false_type_X11
  0.60      5.91     0.04   104359     0.00     0.01  TaEvent::TaEvent(TaEvent const &)
  0.60      5.95     0.04    34787     0.00     0.02  VaAnalysis::ProcessEvt(void)
  0.60      5.99     0.04    17393     0.00     0.01  TaRun::AccumPair(VaPair const &)
  0.60      6.03     0.04                             evRead(int, int *, int)
  0.45      6.06     0.03   593199     0.00     0.00  TaCutInterval::Inside(TaEvent const &, unsigned int, unsigned int) const
  0.45      6.09     0.03   152413     0.00     0.00  __uninitialized_copy_aux__H2ZPCt4pair2Z8ECutTypeZiZPt4pair2Z8ECutTypeZi_X01T0X11G12__false_type_X11
  0.45      6.12     0.03    34900     0.00     0.00  TaEvent::Load(int const *)
  0.45      6.15     0.03    34794     0.00     0.00  TaEvent::TaEvent(void)
  0.45      6.18     0.03    34787     0.00     0.01  TaEvent::CheckEvent(TaRun const &)
  0.45      6.21     0.03    33139     0.00     0.00  TaEvent::CutStatus(void) const
  0.45      6.24     0.03    17394     0.00     0.01  VaPair::~VaPair(void)
  0.45      6.27     0.03    17393     0.00     0.05  VaAnalysis::ProcessPair(void)
  0.45      6.30     0.03        1    30.00  6589.97  VaAnalysis::ProcessRun(void)
  0.45      6.33     0.03                             THaCodaFile::staterr(TString, int)
  0.30      6.35     0.02  1234833     0.00     0.00  TaEvent::Idx(int const &) const
  0.30      6.37     0.02   139146     0.00     0.00  TaEvent::AddCut(ECutType, int)
  0.30      6.39     0.02   104586     0.00     0.00  TaEvent::IsPhysicsEvent(void) const
  0.30      6.41     0.02   103465     0.00     0.00  TaCutInterval::~TaCutInterval(void)
  0.30      6.43     0.02    52180     0.00     0.00  __uninitialized_copy_aux__H2ZPC18TaLabelledQuantityZP18TaLabelledQuantity_X01T0X11G12__false_type_X11
  0.30      6.45     0.02    34788     0.00     0.03  TaRun::NextEvent(void)
  0.30      6.47     0.02    34787     0.00     0.00  TaRun::AddCuts(void)
  0.30      6.49     0.02    34787     0.00     0.02  TaPairFromPair::CheckSequence(TaEvent &)
  0.30      6.51     0.02    17394     0.00     0.01  TaPairFromPair::~TaPairFromPair(void)
  0.30      6.53     0.02    17394     0.00     0.00  VaPair::VaPair(void)
  0.30      6.55     0.02    17393     0.00     0.00  __uninitialized_copy_aux__H2ZPC13TaCutIntervalZP13TaCutInterval_X01T0X11G12__false_type_X11
  0.30      6.57     0.02                             THaCodaFile::codaRead(void)
  0.15      6.58     0.01   379210     0.00     0.00  VaPair::GetRight(void) const
  0.15      6.59     0.01   278288     0.00     0.00  VaPair::AddResult(TaLabelledQuantity const &)
  0.15      6.60     0.01   208721     0.00     0.01  TaEvent::operator=(TaEvent const &)
  0.15      6.61     0.01   156539     0.00     0.00  TaEvent::GetTimeSlot(void) const
  0.15      6.62     0.01    52180     0.00     0.00  TaEvent::GetDelHelicity(void) const
  0.15      6.63     0.01    34901     0.00     0.00  TaRun::GetBuffer(void)
  0.15      6.64     0.01    34788     0.00     0.00  VaPair::Init(void)
  0.15      6.65     0.01    34787     0.00     0.03  TaRun::Decode(void)
  0.15      6.66     0.01    17395     0.00     0.00  VaPair::GetResults(void) const
  0.15      6.67     0.01    17394     0.00     0.00  TaPairFromPair::TaPairFromPair(void)
  0.15      6.68     0.01    17393     0.00     0.00  VaPair::PassedCutsInt(TaCutList)
  0.15      6.69     0.01                             THaCodaFile::getEvBuffer(void)
  0.00      6.69     0.00   380858     0.00     0.00  VaPair::GetLeft(void) const
  0.00      6.69     0.00   173931     0.00     0.00  TaEvent::GetPairSynch(void) const
  0.00      6.69     0.00   173930     0.00     0.00  VaPair::GetDiff(int)
  0.00      6.69     0.00   170632     0.00     0.00  TaEvent::GetCutsPassed(void) const
  0.00      6.69     0.00   139148     0.00     0.00  TaEvent::AddResult(TaLabelledQuantity const &)
  0.00      6.69     0.00    94450     0.00     0.00  double * fill_n<double *, unsigned int, double>(double *, unsigned int, double const &)
  0.00      6.69     0.00    72875     0.00     0.00  TaEvent::GetCuts(void) const
  0.00      6.69     0.00    34788     0.00     0.00  TaEvent::GetEvLength(void) const
  0.00      6.69     0.00    34787     0.00     0.00  TaEvent::GetHelicity(void) const
  0.00      6.69     0.00    34787     0.00     0.00  TaEvent::GetResults(void) const
  0.00      6.69     0.00    34787     0.00     0.00  TaEvent::SetDelHelicity(EHelicity)
  0.00      6.69     0.00    34786     0.00     0.00  VaPair::GetAsy(int)
  0.00      6.69     0.00    17394     0.00     0.00  VaAnalysis::NewPrePair(void)
  0.00      6.69     0.00    17394     0.00     0.00  list<unsigned int, __default_alloc_template<true, 0> >::clear(void)
  0.00      6.69     0.00    17393     0.00     0.04  TaBeamAna::PairAnalysis(void)
  0.00      6.69     0.00    17393     0.00     0.00  VaPair::PassedCuts(void)
  0.00      6.69     0.00    17393     0.00     0.00  void list<unsigned int, __default_alloc_template<true, 0> >::insert<__list_iterator<unsigned int, unsigned int const &, unsigned int const *> >(__list_iterator<unsigned int, unsigned int &, unsigned int *>, __list_iterator<unsigned int, unsigned int const &, unsigned int const *>, __list_iterator<unsigned int, unsigned int const &, unsigned int const *>)
  0.00      6.69     0.00    17392     0.00     0.00  deque<TaEvent, __default_alloc_template<true, 0>, 0>::pop_front_aux(void)
  0.00      6.69     0.00    17392     0.00     0.02  deque<TaEvent, __default_alloc_template<true, 0>, 0>::push_back_aux(TaEvent const &)
  0.00      6.69     0.00    11000     0.00     0.00  rb_tree<char, pair<char const, int>, select1st<pair<char const, int> >, less<char>, __default_alloc_template<true, 0> >::find(char const &)
  0.00      6.69     0.00     3289     0.00     0.00  TaCutInterval::GetVal(void) const
  0.00      6.69     0.00     3106     0.00     0.00  deque<TaEvent, __default_alloc_template<true, 0>, 0>::reallocate_map(unsigned int, bool)
  0.00      6.69     0.00     2602     0.00     0.00  VaDataBase::bstrstr(basic_string<char, string_char_traits<char>, __default_alloc_template<true, 0> >, basic_string<char, string_char_traits<char>, __default_alloc_template<true, 0> >) const
  0.00      6.69     0.00     2020     0.00     0.00  __uninitialized_copy_aux__H2ZPt12basic_string3ZcZt18string_char_traits1ZcZt24__default_alloc_template2b1i0ZPt12basic_string3ZcZt18string_char_traits1ZcZt24__default_alloc_template2b1i0_X01T0X11G12__false_type_X11
  0.00      6.69     0.00     1681     0.00     0.00  rb_tree<basic_string<char, string_char_traits<char>, __default_alloc_template<true, 0> >, pair<basic_string<char, string_char_traits<char>, __default_alloc_template<true, 0> > const, int>, select1st<pair<basic_string<char, string_char_traits<char>, __default_alloc_template<true, 0> > const, int> >, less<basic_string<char, string_char_traits<char>, __default_alloc_template<true, 0> > >, __default_alloc_template<true, 0> >::insert_unique(pair<basic_string<char, string_char_traits<char>, __default_alloc_template<true, 0> > const, int> const &)
  0.00      6.69     0.00     1152     0.00     0.00  TaStatistics::PDataMS(unsigned int) const
  0.00      6.69     0.00     1152     0.00     0.00  TaStatistics::PNeff(unsigned int) const
  0.00      6.69     0.00     1010     0.00     0.00  vector<basic_string<char, string_char_traits<char>, __default_alloc_template<true, 0> >, __default_alloc_template<true, 0> >::insert_aux(basic_string<char, string_char_traits<char>, __default_alloc_template<true, 0> > *, basic_string<char, string_char_traits<char>, __default_alloc_template<true, 0> > const &)
  0.00      6.69     0.00      808     0.00     0.00  map<basic_string<char, string_char_traits<char>, __default_alloc_template<true, 0> >, int, less<basic_string<char, string_char_traits<char>, __default_alloc_template<true, 0> > >, __default_alloc_template<true, 0> >::~map(void)
  0.00      6.69     0.00      801     0.00     0.00  __as__t7rb_tree5Zt12basic_string3ZcZt18string_char_traits1ZcZt24__default_alloc_template2b1i0Zt4pair2ZCt12basic_string3ZcZt18string_char_traits1ZcZt24__default_alloc_template2b1i0ZiZt9select1st1Zt4pair2ZCt12basic_string3ZcZt18string_char_traits1ZcZt24__default_alloc_template2b1i0ZiZt4less1Zt12basic_string3ZcZt18string_char_traits1ZcZt24__default_alloc_template2b1i0Zt24__default_alloc_template2b1i0RCt7rb_tree5Zt12basic_string3ZcZt18string_char_traits1ZcZt24__default_alloc_template2b1i0Zt4pair2ZCt12basic_string3ZcZt18string_char_traits1ZcZt24__default_alloc_template2b1i0ZiZt9select1st1Zt4pair2ZCt12basic_string3ZcZt18string_char_traits1ZcZt24__default_alloc_template2b1i0ZiZt4less1Zt12basic_string3ZcZt18string_char_traits1ZcZt24__default_alloc_template2b1i0Zt24__default_alloc_template2b1i0
  0.00      6.69     0.00      799     0.00     0.00  __copy__t7rb_tree5Zt12basic_string3ZcZt18string_char_traits1ZcZt24__default_alloc_template2b1i0Zt4pair2ZCt12basic_string3ZcZt18string_char_traits1ZcZt24__default_alloc_template2b1i0ZiZt9select1st1Zt4pair2ZCt12basic_string3ZcZt18string_char_traits1ZcZt24__default_alloc_template2b1i0ZiZt4less1Zt12basic_string3ZcZt18string_char_traits1ZcZt24__default_alloc_template2b1i0Zt24__default_alloc_template2b1i0Pt14__rb_tree_node1Zt4pair2ZCt12basic_string3ZcZt18string_char_traits1ZcZt24__default_alloc_template2b1i0ZiT1
  0.00      6.69     0.00      799     0.00     0.00  __erase__t7rb_tree5Zt12basic_string3ZcZt18string_char_traits1ZcZt24__default_alloc_template2b1i0Zt4pair2ZCt12basic_string3ZcZt18string_char_traits1ZcZt24__default_alloc_template2b1i0ZiZt9select1st1Zt4pair2ZCt12basic_string3ZcZt18string_char_traits1ZcZt24__default_alloc_template2b1i0ZiZt4less1Zt12basic_string3ZcZt18string_char_traits1ZcZt24__default_alloc_template2b1i0Zt24__default_alloc_template2b1i0Pt14__rb_tree_node1Zt4pair2ZCt12basic_string3ZcZt18string_char_traits1ZcZt24__default_alloc_template2b1i0Zi
  0.00      6.69     0.00      792     0.00     0.00  TaStatistics::Size(void) const
  0.00      6.69     0.00      765     0.00     0.00  __insert__t7rb_tree5Zt12basic_string3ZcZt18string_char_traits1ZcZt24__default_alloc_template2b1i0Zt4pair2ZCt12basic_string3ZcZt18string_char_traits1ZcZt24__default_alloc_template2b1i0ZiZt9select1st1Zt4pair2ZCt12basic_string3ZcZt18string_char_traits1ZcZt24__default_alloc_template2b1i0ZiZt4less1Zt12basic_string3ZcZt18string_char_traits1ZcZt24__default_alloc_template2b1i0Zt24__default_alloc_template2b1i0P19__rb_tree_node_baseT1RCt4pair2ZCt12basic_string3ZcZt18string_char_traits1ZcZt24__default_alloc_template2b1i0Zi
  0.00      6.69     0.00      683     0.00     0.00  dtype::Valid(basic_string<char, string_char_traits<char>, __default_alloc_template<true, 0> >)
  0.00      6.69     0.00      576     0.00     0.00  TaStatistics::DataRMS(unsigned int) const
  0.00      6.69     0.00      576     0.00     0.00  TaStatistics::MeanErr(unsigned int) const
  0.00      6.69     0.00      576     0.00     0.00  TaStatistics::Mean(unsigned int) const
  0.00      6.69     0.00      576     0.00     0.00  TaStatistics::Neff(unsigned int) const
  0.00      6.69     0.00      576     0.00     0.00  TaStatistics::PMeanVar(unsigned int) const
  0.00      6.69     0.00      576     0.00     0.00  TaStatistics::PMean(unsigned int) const
  0.00      6.69     0.00      544     0.00     0.00  __as__t6vector2ZdZt24__default_alloc_template2b1i0RCt6vector2ZdZt24__default_alloc_template2b1i0
  0.00      6.69     0.00      518     0.00     0.00  TaDevice::GetKey(basic_string<char, string_char_traits<char>, __default_alloc_template<true, 0> >)
  0.00      6.69     0.00      495     0.00     0.00  __uninitialized_copy_aux__H2ZPCt12basic_string3ZcZt18string_char_traits1ZcZt24__default_alloc_template2b1i0ZPt12basic_string3ZcZt18string_char_traits1ZcZt24__default_alloc_template2b1i0_X01T0X11G12__false_type_X11
  0.00      6.69     0.00      476     0.00     0.00  rb_tree<basic_string<char, string_char_traits<char>, __default_alloc_template<true, 0> >, pair<basic_string<char, string_char_traits<char>, __default_alloc_template<true, 0> > const, int>, select1st<pair<basic_string<char, string_char_traits<char>, __default_alloc_template<true, 0> > const, int> >, less<basic_string<char, string_char_traits<char>, __default_alloc_template<true, 0> > >, __default_alloc_template<true, 0> >::find(basic_string<char, string_char_traits<char>, __default_alloc_template<true, 0> > const &)
  0.00      6.69     0.00      407     0.00     0.00  vector<dtype *, __default_alloc_template<true, 0> >::insert_aux(dtype **, dtype *const &)
  0.00      6.69     0.00      216     0.00     0.00  __as__t6vector2Zt12basic_string3ZcZt18string_char_traits1ZcZt24__default_alloc_template2b1i0Zt24__default_alloc_template2b1i0RCt6vector2Zt12basic_string3ZcZt18string_char_traits1ZcZt24__default_alloc_template2b1i0Zt24__default_alloc_template2b1i0
  0.00      6.69     0.00      215     0.00     0.00  VaDataBase::vsplit(basic_string<char, string_char_traits<char>, __default_alloc_template<true, 0> >)
  0.00      6.69     0.00      206     0.00     0.00  TaAsciiDB::FindTable(basic_string<char, string_char_traits<char>, __default_alloc_template<true, 0> >)
  0.00      6.69     0.00      168     0.00     0.00  TaAsciiDB::GetData(dtype *) const
  0.00      6.69     0.00      135     0.00     0.00  deque<VaPair *, __default_alloc_template<true, 0>, 0>::pop_front_aux(void)
  0.00      6.69     0.00      135     0.00     0.00  deque<VaPair *, __default_alloc_template<true, 0>, 0>::push_back_aux(VaPair *const &)
  0.00      6.69     0.00      127     0.00     0.00  TaAsciiDB::InitDataMap(void)
  0.00      6.69     0.00      121     0.00     0.00  TaAsciiDB::NextDataMap(void)
